상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
395,[HOMEPLUS] 더미 상품 395 (블루/260),디지털/가전 > 모니터,69420,265,색상,블루,사이즈,260,HOMEPLUS,HOM86783,8889359300913,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,HOMEPLUS 제조사,과세,품절,전시안함,12708928576
396,[STARLINE] 더미 상품 396 (베이지/250),디지털/가전 > 모니터,165620,155,색상,베이지,사이즈,250,STARLINE,STA63699,8802454762648,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,베트남,STARLINE 제조사,과세,판매중,전시중,12708928649
397,[URBANWEAR] 더미 상품 397 (화이트/M),패션의류 > 아우터 > 코트,189510,254,색상,화이트,사이즈,M,URBANWEAR,URB73981,8848927167339,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,URBANWEAR 제조사,과세,품절,전시중,12708928723
398,[NAVYFOX] 더미 상품 398 (그레이/250),패션잡화 > 가방 > 백팩,75360,242,색상,그레이,사이즈,250,NAVYFOX,NAV72887,8857796530531,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,NAVYFOX 제조사,과세,판매중,전시안함,12708928832
400,[MOON] 더미 상품 400 (블랙/FREE),패션의류 > 아우터 > 코트,37410,274,색상,블랙,사이즈,FREE,MOON,MOO93519,8841856535087,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,중국,MOON 제조사,과세,판매중,전시안함,12708928899
401,[NAVYFOX] 더미 상품 401 (네이비/S),패션의류 > 하의 > 청바지,25360,110,색상,네이비,사이즈,S,NAVYFOX,NAV32297,8876084475961,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,NAVYFOX 제조사,과세,품절,전시중,12708928999
403,[STARLINE] 더미 상품 403 (베이지/260),디지털/가전 > 모니터,164850,20,색상,베이지,사이즈,260,STARLINE,STA64952,8833733660060,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,STARLINE 제조사,과세,판매중,전시중,12708929143
405,[GREENPET] 더미 상품 405 (그린/M),패션잡화 > 가방 > 크로스백,20170,4,색상,그린,사이즈,M,GREENPET,GRE27217,8856450185775,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,GREENPET 제조사,과세,판매중,전시안함,12708929212
410,[STARLINE] 더미 상품 410 (그레이/M),패션의류 > 상의 > 티셔츠,30690,49,색상,그레이,사이즈,M,STARLINE,STA15866,8803457523186,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,STARLINE 제조사,면세,판매중,전시안함,12708929303
412,[MOON] 더미 상품 412 (그레이/FREE),반려동물 > 강아지용품 > 사료,20810,61,색상,그레이,사이즈,FREE,MOON,MOO15709,8837722593691,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,MOON 제조사,과세,판매중,전시안함,12708929365
415,[DIGIPRO] 더미 상품 415 (네이비/250),패션의류 > 상의 > 티셔츠,22590,299,색상,네이비,사이즈,250,DIGIPRO,DIG89093,8829346519582,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,DIGIPRO 제조사,면세,품절,전시안함,12708929417
417,[TECHONE] 더미 상품 417 (네이비/250),패션의류 > 하의 > 청바지,127580,250,색상,네이비,사이즈,250,TECHONE,TEC96805,8822935251369,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,일본,TECHONE 제조사,면세,품절,전시중,12708929500
419,[FASHIONLAB] 더미 상품 419 (그린/S),디지털/가전 > 모니터,39480,73,색상,그린,사이즈,S,FASHIONLAB,FAS85858,8859501518593,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,국산,FASHIONLAB 제조사,과세,품절,전시중,12708929561
421,[URBANWEAR] 더미 상품 421 (레드/270),패션의류 > 상의 > 티셔츠,251610,6,색상,레드,사이즈,270,URBANWEAR,URB51031,8847453527448,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,URBANWEAR 제조사,과세,판매중,전시중,12708929627
422,[URBANWEAR] 더미 상품 422 (블루/S),패션의류 > 아우터 > 코트,190740,62,색상,블루,사이즈,S,URBANWEAR,URB98961,8829141176450,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,일본,URBANWEAR 제조사,과세,판매중,전시중,12708929703
424,[STARLINE] 더미 상품 424 (블루/L),패션의류 > 상의 > 티셔츠,211200,87,색상,블루,사이즈,L,STARLINE,STA82840,8857314701129,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,STARLINE 제조사,면세,판매중,전시중,12708929764
425,[HOMEPLUS] 더미 상품 425 (레드/L),디지털/가전 > 모니터,145880,295,색상,레드,사이즈,L,HOMEPLUS,HOM33867,8839516354757,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,일본,HOMEPLUS 제조사,과세,품절,전시중,12708929866
426,[URBANWEAR] 더미 상품 426 (화이트/M),패션의류 > 하의 > 청바지,275260,6,색상,화이트,사이즈,M,URBANWEAR,URB52337,8880967471964,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,베트남,URBANWEAR 제조사,과세,품절,전시안함,12708929949
427,[MOON] 더미 상품 427 (그린/270),패션의류 > 아우터 > 코트,91220,153,색상,그린,사이즈,270,MOON,MOO80689,8875665085645,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,MOON 제조사,면세,품절,전시안함,12708930024
428,[NAVYFOX] 더미 상품 428 (네이비/260),패션잡화 > 가방 > 크로스백,44320,69,색상,네이비,사이즈,260,NAVYFOX,NAV68618,8835462999049,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,미국,NAVYFOX 제조사,면세,판매중,전시중,12708930137
429,[COOKMASTER] 더미 상품 429 (화이트/S),디지털/가전 > 노트북,66540,252,색상,화이트,사이즈,S,COOKMASTER,COO17036,8806494121385,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,COOKMASTER 제조사,과세,품절,전시안함,12708930206
431,[MOON] 더미 상품 431 (레드/L),패션의류 > 하의 > 청바지,72010,93,색상,레드,사이즈,L,MOON,MOO96324,8896126596514,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,MOON 제조사,과세,품절,전시중,12708930279
432,[COOKMASTER] 더미 상품 432 (화이트/FREE),패션잡화 > 신발 > 운동화,266300,220,색상,화이트,사이즈,FREE,COOKMASTER,COO29999,8823951890187,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,중국,COOKMASTER 제조사,면세,품절,전시중,12708930390
435,[DIGIPRO] 더미 상품 435 (네이비/XL),패션의류 > 아우터 > 패딩,107070,300,색상,네이비,사이즈,XL,DIGIPRO,DIG72664,8869849221085,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,DIGIPRO 제조사,면세,판매중,전시중,12708930465
437,[DIGIPRO] 더미 상품 437 (그린/270),패션잡화 > 가방 > 크로스백,242590,41,색상,그린,사이즈,270,DIGIPRO,DIG19170,8882308291942,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,DIGIPRO 제조사,면세,품절,전시안함,12708930537
441,[HOMEPLUS] 더미 상품 441 (블랙/M),패션의류 > 하의 > 청바지,34100,71,색상,블랙,사이즈,M,HOMEPLUS,HOM74427,8882452475112,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,미국,HOMEPLUS 제조사,과세,판매중,전시중,12708930633
443,[URBANWEAR] 더미 상품 443 (블랙/FREE),패션의류 > 아우터 > 패딩,244940,93,색상,블랙,사이즈,FREE,URBANWEAR,URB34091,8839039457757,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,URBANWEAR 제조사,면세,판매중,전시안함,12708930696
447,[TECHONE] 더미 상품 447 (레드/270),패션잡화 > 가방 > 백팩,45810,114,색상,레드,사이즈,270,TECHONE,TEC16050,8853668800981,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,일본,TECHONE 제조사,면세,품절,전시안함,12708930808
448,[NAVYFOX] 더미 상품 448 (블루/270),디지털/가전 > 노트북,296690,110,색상,블루,사이즈,270,NAVYFOX,NAV83680,8802860486764,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,NAVYFOX 제조사,면세,품절,전시안함,12708930887
449,[HOMEPLUS] 더미 상품 449 (블랙/XL),디지털/가전 > 모니터,181350,41,색상,블랙,사이즈,XL,HOMEPLUS,HOM38261,8834982781891,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,중국,HOMEPLUS 제조사,과세,판매중,전시안함,12708930959
451,[MOON] 더미 상품 451 (화이트/L),패션의류 > 하의 > 청바지,181400,155,색상,화이트,사이즈,L,MOON,MOO41803,8822964489140,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,MOON 제조사,과세,판매중,전시중,12708931052
454,[FASHIONLAB] 더미 상품 454 (레드/FREE),패션의류 > 아우터 > 코트,114750,219,색상,레드,사이즈,FREE,FASHIONLAB,FAS22045,8842145589574,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,FASHIONLAB 제조사,과세,판매중,전시중,12708931111
455,[TECHONE] 더미 상품 455 (블루/M),반려동물 > 강아지용품 > 사료,77760,31,색상,블루,사이즈,M,TECHONE,TEC71038,8806597617244,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,미국,TECHONE 제조사,과세,판매중,전시안함,12708931172
457,[TECHONE] 더미 상품 457 (화이트/250),패션의류 > 하의 > 청바지,47090,28,색상,화이트,사이즈,250,TECHONE,TEC33307,8859334930906,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,TECHONE 제조사,면세,판매중,전시중,12708931268
458,[COOKMASTER] 더미 상품 458 (화이트/XL),패션의류 > 상의 > 티셔츠,97400,106,색상,화이트,사이즈,XL,COOKMASTER,COO51272,8864927369257,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,COOKMASTER 제조사,면세,판매중,전시중,12708931340
463,[COOKMASTER] 더미 상품 463 (베이지/XL),패션의류 > 아우터 > 코트,39000,23,색상,베이지,사이즈,XL,COOKMASTER,COO58033,8846723532079,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,COOKMASTER 제조사,면세,판매중,전시안함,12708931413
464,[HOMEPLUS] 더미 상품 464 (네이비/270),디지털/가전 > 노트북,67520,52,색상,네이비,사이즈,270,HOMEPLUS,HOM80113,8859936648681,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,HOMEPLUS 제조사,과세,품절,전시안함,12708931484
466,[MOON] 더미 상품 466 (레드/270),반려동물 > 강아지용품 > 사료,74510,115,색상,레드,사이즈,270,MOON,MOO67516,8808438550749,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,MOON 제조사,면세,품절,전시중,12708931580
468,[GREENPET] 더미 상품 468 (그린/XL),패션잡화 > 신발 > 운동화,152370,267,색상,그린,사이즈,XL,GREENPET,GRE49583,8816782196581,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,GREENPET 제조사,면세,판매중,전시안함,12708931694
471,[STARLINE] 더미 상품 471 (그린/FREE),패션의류 > 상의 > 티셔츠,220090,125,색상,그린,사이즈,FREE,STARLINE,STA64436,8820079710673,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,중국,STARLINE 제조사,면세,판매중,전시안함,12708931773
472,[NAVYFOX] 더미 상품 472 (베이지/M),패션의류 > 아우터 > 패딩,13390,171,색상,베이지,사이즈,M,NAVYFOX,NAV16747,8805706396329,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,베트남,NAVYFOX 제조사,면세,판매중,전시안함,12708931859
473,[FASHIONLAB] 더미 상품 473 (베이지/FREE),패션의류 > 아우터 > 패딩,234130,65,색상,베이지,사이즈,FREE,FASHIONLAB,FAS96008,8820786663368,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,미국,FASHIONLAB 제조사,면세,판매중,전시안함,12708931929
475,[TECHONE] 더미 상품 475 (그린/FREE),패션의류 > 하의 > 청바지,162950,95,색상,그린,사이즈,FREE,TECHONE,TEC83864,8805685184424,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,국산,TECHONE 제조사,면세,품절,전시안함,12708932021
476,[NAVYFOX] 더미 상품 476 (블루/250),패션의류 > 상의 > 티셔츠,47630,167,색상,블루,사이즈,250,NAVYFOX,NAV75263,8822617341154,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,국산,NAVYFOX 제조사,면세,품절,전시안함,12708932121
478,[TECHONE] 더미 상품 478 (그레이/270),패션잡화 > 가방 > 백팩,149670,136,색상,그레이,사이즈,270,TECHONE,TEC44001,8899048605822,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,TECHONE 제조사,면세,판매중,전시중,12708932197
479,[STARLINE] 더미 상품 479 (그린/L),디지털/가전 > 모니터,49950,227,색상,그린,사이즈,L,STARLINE,STA99278,8800682250779,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,중국,STARLINE 제조사,과세,품절,전시안함,12708932265
480,[STARLINE] 더미 상품 480 (블랙/L),패션잡화 > 신발 > 운동화,53420,133,색상,블랙,사이즈,L,STARLINE,STA17377,8807459458282,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,STARLINE 제조사,과세,판매중,전시중,12708932373
481,[COOKMASTER] 더미 상품 481 (베이지/270),패션의류 > 아우터 > 패딩,150390,1,색상,베이지,사이즈,270,COOKMASTER,COO21588,8863725022055,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,COOKMASTER 제조사,면세,판매중,전시중,12708932438
482,[HOMEPLUS] 더미 상품 482 (블루/S),반려동물 > 강아지용품 > 사료,235630,76,색상,블루,사이즈,S,HOMEPLUS,HOM98950,8889659523208,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,HOMEPLUS 제조사,면세,판매중,전시중,12708932509
484,[COOKMASTER] 더미 상품 484 (그레이/L),패션잡화 > 가방 > 크로스백,74940,137,색상,그레이,사이즈,L,COOKMASTER,COO22145,8835507460137,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,미국,COOKMASTER 제조사,과세,품절,전시중,12708932624
486,[MOON] 더미 상품 486 (블랙/XL),패션잡화 > 신발 > 운동화,80460,270,색상,블랙,사이즈,XL,MOON,MOO49599,8852362102342,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,독일,MOON 제조사,과세,판매중,전시중,12708932695
487,[NAVYFOX] 더미 상품 487 (그레이/L),패션의류 > 아우터 > 코트,233400,43,색상,그레이,사이즈,L,NAVYFOX,NAV10385,8815676450180,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,NAVYFOX 제조사,과세,판매중,전시안함,12708932770
489,[GREENPET] 더미 상품 489 (블루/270),패션의류 > 아우터 > 패딩,229600,197,색상,블루,사이즈,270,GREENPET,GRE39203,8845644000064,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,GREENPET 제조사,면세,판매중,전시중,12708932860
490,[TECHONE] 더미 상품 490 (블랙/M),디지털/가전 > 노트북,296600,111,색상,블랙,사이즈,M,TECHONE,TEC51908,8899291435082,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,TECHONE 제조사,과세,품절,전시중,12708932982
491,[MOON] 더미 상품 491 (블랙/270),패션잡화 > 가방 > 크로스백,133550,4,색상,블랙,사이즈,270,MOON,MOO61260,8889241968650,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,일본,MOON 제조사,면세,판매중,전시중,12708933042
