행번호,상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
152,151,[HOMEPLUS] 더미 상품 151 (그레이/250),생활/주방 > 주방용품 > 프라이팬,114000,51,색상,그레이,사이즈,250,HOMEPLUS,MDL-0151,880240518715,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 151 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 250, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,베트남,HOMEPLUS 제조사,면세,판매중,전시안함,,12706821446
153,152,[NAVYFOX] 더미 상품 152 (화이트/270),패션의류 > 상의 > 티셔츠,106500,121,색상,화이트,사이즈,270,NAVYFOX,MDL-0152,880690326208,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 152 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,NAVYFOX 제조사,과세,판매중,전시안함,,12706821509
154,153,[TECHONE] 더미 상품 153 (화이트/XL),반려동물 > 강아지용품 > 사료,59000,15,색상,화이트,사이즈,XL,TECHONE,MDL-0153,880249004025,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 153 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,일본,TECHONE 제조사,면세,판매중,전시안함,,12706821571
155,154,[STARLINE] 더미 상품 154 (레드/270),패션의류 > 상의 > 티셔츠,27000,10,색상,레드,사이즈,270,STARLINE,MDL-0154,880423473335,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 154 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,STARLINE 제조사,면세,판매중,전시중,,12706821643
156,155,[URBANWEAR] 더미 상품 155 (블랙/250),패션의류 > 상의 > 티셔츠,101000,140,색상,블랙,사이즈,250,URBANWEAR,MDL-0155,880993959503,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 155 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,URBANWEAR 제조사,면세,품절,전시중,,12706821713
157,156,[HOMEPLUS] 더미 상품 156 (블랙/250),패션의류 > 상의 > 티셔츠,148000,86,색상,블랙,사이즈,250,HOMEPLUS,MDL-0156,880986041234,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 156 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,국산,HOMEPLUS 제조사,과세,품절,전시중,,12706821814
158,157,[COOKMASTER] 더미 상품 157 (네이비/XL),패션잡화 > 가방 > 백팩,127000,21,색상,네이비,사이즈,XL,COOKMASTER,MDL-0157,880361686445,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 157 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,COOKMASTER 제조사,면세,품절,전시중,,12706821871
159,158,[GREENPET] 더미 상품 158 (네이비/L),식품 > 과자/간식 > 과자,145000,112,색상,네이비,사이즈,L,GREENPET,MDL-0158,880582054244,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 158 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: L, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,GREENPET 제조사,면세,판매중,전시중,,12706821943
160,159,[MOON] 더미 상품 159 (화이트/S),식품 > 과자/간식 > 과자,79500,35,색상,화이트,사이즈,S,MOON,MDL-0159,880108159032,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 159 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: S, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,MOON 제조사,과세,품절,전시중,,12706822016
161,160,[TECHONE] 더미 상품 160 (네이비/XL),디지털/가전 > 모니터,145500,67,색상,네이비,사이즈,XL,TECHONE,MDL-0160,880853780621,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 160 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,TECHONE 제조사,면세,판매중,전시중,,12706822094
162,161,[TECHONE] 더미 상품 161 (네이비/FREE),패션의류 > 하의 > 청바지,23500,67,색상,네이비,사이즈,FREE,TECHONE,MDL-0161,880854373735,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 161 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: FREE, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,TECHONE 제조사,과세,품절,전시중,,12706822160
163,162,[COOKMASTER] 더미 상품 162 (그레이/M),반려동물 > 강아지용품 > 사료,113000,195,색상,그레이,사이즈,M,COOKMASTER,MDL-0162,880337364532,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 162 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,COOKMASTER 제조사,과세,판매중,전시중,,12706822223
164,163,[COOKMASTER] 더미 상품 163 (그레이/260),패션의류 > 상의 > 티셔츠,74500,42,색상,그레이,사이즈,260,COOKMASTER,MDL-0163,880486535803,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 163 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,COOKMASTER 제조사,면세,품절,전시안함,,12706822294
165,164,[GREENPET] 더미 상품 164 (블랙/L),패션잡화 > 가방 > 백팩,31000,138,색상,블랙,사이즈,L,GREENPET,MDL-0164,880341176344,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 164 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,미국,GREENPET 제조사,과세,판매중,전시안함,,12706822381
166,165,[NAVYFOX] 더미 상품 165 (베이지/L),반려동물 > 강아지용품 > 사료,79000,177,색상,베이지,사이즈,L,NAVYFOX,MDL-0165,880831483805,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 165 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,중국,NAVYFOX 제조사,면세,품절,전시중,,12706822454
167,166,[TECHONE] 더미 상품 166 (네이비/XL),반려동물 > 강아지용품 > 사료,112500,120,색상,네이비,사이즈,XL,TECHONE,MDL-0166,880805863470,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 166 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,TECHONE 제조사,면세,판매중,전시중,,12706822537
168,167,[URBANWEAR] 더미 상품 167 (레드/L),패션의류 > 상의 > 티셔츠,133000,96,색상,레드,사이즈,L,URBANWEAR,MDL-0167,880586773750,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 167 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: L, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,URBANWEAR 제조사,과세,품절,전시중,,12706822616
169,168,[URBANWEAR] 더미 상품 168 (그레이/S),패션의류 > 상의 > 티셔츠,46500,171,색상,그레이,사이즈,S,URBANWEAR,MDL-0168,880783248476,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 168 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,미국,URBANWEAR 제조사,과세,판매중,전시중,,12706822689
170,169,[TECHONE] 더미 상품 169 (레드/M),생활/주방 > 주방용품 > 프라이팬,42500,154,색상,레드,사이즈,M,TECHONE,MDL-0169,880271108814,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 169 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,TECHONE 제조사,면세,판매중,전시안함,,12706822757
171,170,[URBANWEAR] 더미 상품 170 (네이비/260),생활/주방 > 주방용품 > 프라이팬,60500,172,색상,네이비,사이즈,260,URBANWEAR,MDL-0170,880166943896,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 170 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,일본,URBANWEAR 제조사,과세,판매중,전시안함,,12706822834
172,171,[NAVYFOX] 더미 상품 171 (네이비/XL),디지털/가전 > 모니터,93000,196,색상,네이비,사이즈,XL,NAVYFOX,MDL-0171,880427054630,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 171 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,NAVYFOX 제조사,과세,판매중,전시중,,12706822895
173,172,[TECHONE] 더미 상품 172 (화이트/L),패션잡화 > 가방 > 백팩,55500,88,색상,화이트,사이즈,L,TECHONE,MDL-0172,880368250699,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 172 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,베트남,TECHONE 제조사,면세,품절,전시중,,12706822968
174,173,[URBANWEAR] 더미 상품 173 (베이지/270),반려동물 > 강아지용품 > 사료,135000,106,색상,베이지,사이즈,270,URBANWEAR,MDL-0173,880131668779,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 173 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,URBANWEAR 제조사,과세,품절,전시안함,,12706823034
175,174,[HOMEPLUS] 더미 상품 174 (그레이/XL),패션의류 > 하의 > 청바지,25000,70,색상,그레이,사이즈,XL,HOMEPLUS,MDL-0174,880609372404,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 174 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,HOMEPLUS 제조사,면세,품절,전시안함,,12706823099
176,175,[COOKMASTER] 더미 상품 175 (블랙/250),생활/주방 > 주방용품 > 프라이팬,75500,125,색상,블랙,사이즈,250,COOKMASTER,MDL-0175,880621932507,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 175 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,독일,COOKMASTER 제조사,면세,품절,전시중,,12706823159
177,176,[GREENPET] 더미 상품 176 (블랙/XL),생활/주방 > 주방용품 > 프라이팬,76000,103,색상,블랙,사이즈,XL,GREENPET,MDL-0176,880515686124,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 176 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: XL, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,베트남,GREENPET 제조사,면세,판매중,전시중,,12706823251
178,177,[GREENPET] 더미 상품 177 (그레이/S),패션의류 > 상의 > 티셔츠,33500,97,색상,그레이,사이즈,S,GREENPET,MDL-0177,880547797679,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 177 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,GREENPET 제조사,면세,판매중,전시중,,12706823319
179,178,[TECHONE] 더미 상품 178 (베이지/250),패션의류 > 상의 > 티셔츠,121500,7,색상,베이지,사이즈,250,TECHONE,MDL-0178,880335030009,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 178 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 250, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,TECHONE 제조사,과세,품절,전시중,,12706823393
180,179,[COOKMASTER] 더미 상품 179 (네이비/270),디지털/가전 > 모니터,58000,19,색상,네이비,사이즈,270,COOKMASTER,MDL-0179,880349257510,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 179 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 270, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,일본,COOKMASTER 제조사,과세,품절,전시안함,,12706823487
181,180,[STARLINE] 더미 상품 180 (화이트/L),디지털/가전 > 노트북,93000,103,색상,화이트,사이즈,L,STARLINE,MDL-0180,880210107204,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 180 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,독일,STARLINE 제조사,면세,판매중,전시안함,,12706823564
182,181,[URBANWEAR] 더미 상품 181 (블랙/260),패션의류 > 하의 > 청바지,111500,133,색상,블랙,사이즈,260,URBANWEAR,MDL-0181,880962286250,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 181 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,URBANWEAR 제조사,면세,판매중,전시안함,,12706823658
183,182,[MOON] 더미 상품 182 (화이트/S),생활/주방 > 주방용품 > 프라이팬,73000,184,색상,화이트,사이즈,S,MOON,MDL-0182,880519478482,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 182 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: S, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,미국,MOON 제조사,과세,판매중,전시안함,,12706823739
184,183,[MOON] 더미 상품 183 (화이트/260),생활/주방 > 주방용품 > 프라이팬,22000,186,색상,화이트,사이즈,260,MOON,MDL-0183,880201442156,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 183 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,중국,MOON 제조사,과세,품절,전시중,,12706823846
185,184,[GREENPET] 더미 상품 184 (화이트/250),반려동물 > 강아지용품 > 사료,38500,196,색상,화이트,사이즈,250,GREENPET,MDL-0184,880470100922,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 184 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,GREENPET 제조사,면세,품절,전시안함,,12706823928
186,185,[STARLINE] 더미 상품 185 (블랙/250),디지털/가전 > 노트북,42000,48,색상,블랙,사이즈,250,STARLINE,MDL-0185,880812988556,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 185 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,일본,STARLINE 제조사,면세,판매중,전시중,,12706823996
187,186,[GREENPET] 더미 상품 186 (네이비/L),패션잡화 > 가방 > 백팩,125000,64,색상,네이비,사이즈,L,GREENPET,MDL-0186,880594028090,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 186 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,독일,GREENPET 제조사,면세,품절,전시중,,12706824070
188,187,[HOMEPLUS] 더미 상품 187 (화이트/250),생활/주방 > 주방용품 > 프라이팬,147000,62,색상,화이트,사이즈,250,HOMEPLUS,MDL-0187,880368011746,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 187 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,중국,HOMEPLUS 제조사,면세,품절,전시안함,,12706824141
189,188,[GREENPET] 더미 상품 188 (그레이/250),반려동물 > 강아지용품 > 사료,45000,167,색상,그레이,사이즈,250,GREENPET,MDL-0188,880328558758,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 188 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 250, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,GREENPET 제조사,과세,판매중,전시안함,,12706824216
190,189,[STARLINE] 더미 상품 189 (화이트/XL),디지털/가전 > 모니터,92000,122,색상,화이트,사이즈,XL,STARLINE,MDL-0189,880705845142,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 189 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,베트남,STARLINE 제조사,과세,판매중,전시안함,,12706824277
191,190,[COOKMASTER] 더미 상품 190 (그레이/M),식품 > 과자/간식 > 과자,42500,87,색상,그레이,사이즈,M,COOKMASTER,MDL-0190,880689936512,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 190 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,COOKMASTER 제조사,과세,품절,전시중,,12706824363
192,191,[MOON] 더미 상품 191 (화이트/260),생활/주방 > 주방용품 > 프라이팬,124500,194,색상,화이트,사이즈,260,MOON,MDL-0191,880567658513,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 191 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,중국,MOON 제조사,면세,판매중,전시안함,,12706824440
193,192,[STARLINE] 더미 상품 192 (네이비/L),반려동물 > 강아지용품 > 사료,18500,163,색상,네이비,사이즈,L,STARLINE,MDL-0192,880631145483,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 192 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: L, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,STARLINE 제조사,과세,품절,전시안함,,12706824515
194,193,[MOON] 더미 상품 193 (블랙/XL),생활/주방 > 주방용품 > 프라이팬,78000,189,색상,블랙,사이즈,XL,MOON,MDL-0193,880299860017,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 193 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: XL, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,MOON 제조사,면세,판매중,전시중,,12706824588
195,194,[HOMEPLUS] 더미 상품 194 (레드/M),패션의류 > 하의 > 청바지,126500,68,색상,레드,사이즈,M,HOMEPLUS,MDL-0194,880249835798,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 194 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,독일,HOMEPLUS 제조사,과세,판매중,전시중,,12706824653
